event_ts,feature_key,scope,oblast,value_bool
2023-08-02T05:17:31+00:00,mig_31_airborne,national,,true
2023-08-02T17:55:00+00:00,tu_95_takeoff,national,,true
2023-08-02T19:50:51+00:00,tu_95_takeoff,national,,false
2023-08-04T10:38:47+00:00,mig_31_airborne,national,,true
2023-08-05T06:29:12+00:00,mig_31_airborne,national,,true
2023-08-05T08:35:36+00:00,mig_31_airborne,national,,true
2023-08-05T23:04:22+00:00,tu_95_takeoff,national,,true
2023-08-06T04:32:40+00:00,mass_attack_active,national,,true
2023-08-06T04:32:40+00:00,tu_95_takeoff,national,,false
2023-08-08T14:54:05+00:00,mig_31_airborne,national,,true
2023-08-09T13:02:48+00:00,mig_31_airborne,national,,true
2023-08-09T14:43:22+00:00,mig_31_airborne,national,,true
2023-08-09T17:45:17+00:00,mig_31_airborne,national,,true
2023-08-09T20:24:30+00:00,mig_31_airborne,national,,true
2023-08-10T00:58:03+00:00,mig_31_airborne,national,,true
2023-08-11T06:49:43+00:00,mig_31_airborne,national,,true
2023-08-11T06:59:54+00:00,mig_31_airborne,national,,true
2023-08-11T11:13:26+00:00,mass_attack_active,oblast,ivano-frankivsk,true
2023-08-11T11:13:26+00:00,mig_31_airborne,national,,true
2023-08-15T00:07:11+00:00,tu_95_takeoff,national,,true
2023-08-15T04:56:52+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2023-08-22T09:51:34+00:00,mig_31_airborne,national,,true
2023-08-24T12:26:29+00:00,mig_31_airborne,national,,true
2023-08-24T13:25:46+00:00,mig_31_airborne,national,,false
2023-08-26T06:37:10+00:00,mig_31_airborne,national,,true
2023-08-27T00:39:07+00:00,tu_95_takeoff,national,,true
2023-08-30T00:43:43+00:00,tu_95_takeoff,national,,true
2023-08-30T05:46:25+00:00,tu_95_takeoff,national,,false
2023-09-04T10:33:21+00:00,mig_31_airborne,national,,true
2023-09-06T01:23:29+00:00,tu_95_takeoff,national,,true
2023-09-06T01:44:29+00:00,tu_95_takeoff,national,,true
2023-09-06T04:28:11+00:00,tu_95_takeoff,national,,false
2023-09-07T17:04:04+00:00,mig_31_airborne,national,,true
2023-09-16T21:54:07+00:00,tu_95_takeoff,national,,true
2023-09-17T05:31:16+00:00,tu_95_takeoff,national,,false
2023-09-17T21:28:10+00:00,tu_95_takeoff,national,,true
2023-09-18T00:51:06+00:00,tu_95_takeoff,national,,true
2023-09-18T05:26:50+00:00,tu_95_takeoff,national,,true
2023-09-20T21:13:41+00:00,tu_95_takeoff,national,,true
2023-09-21T00:57:09+00:00,tu_95_takeoff,national,,true
2023-09-26T11:26:06+00:00,mig_31_airborne,national,,true
2023-09-26T16:35:10+00:00,mig_31_airborne,national,,true
2023-09-29T15:41:12+00:00,mig_31_airborne,national,,true
2023-10-28T06:17:49+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2023-11-06T13:07:01+00:00,mig_31_airborne,national,,true
2023-11-06T14:32:19+00:00,mig_31_airborne,national,,false
2023-11-10T08:29:49+00:00,mig_31_airborne,national,,true
2023-11-15T10:06:52+00:00,mig_31_airborne,national,,true
2023-11-23T15:54:09+00:00,mig_31_airborne,national,,true
2023-11-28T11:44:02+00:00,mig_31_airborne,national,,true
2023-12-01T09:03:00+00:00,mig_31_airborne,national,,true
2023-12-01T10:23:45+00:00,mig_31_airborne,national,,false
2023-12-02T10:08:41+00:00,mig_31_airborne,national,,true
2023-12-07T10:42:01+00:00,mig_31_airborne,national,,true
