pr_auc,roc_auc,f1_macro,n_pos,n,pos_rate,oblast,oblast_id,horizon,threshold,active
0.32364733620401026,0.8020691420170719,0.657032326064162,264,4201,0.06284218281507492,Rivne,19,1,0.6,True
0.13190599370760647,0.6547146920051415,0.5609537278832529,264,4201,0.06284218281507492,Rivne,19,2,0.59,True
0.10217223320417115,0.612109368211074,0.5323268479824621,263,4201,0.0626041442155838,Rivne,19,3,0.59,True
0.09050675136294724,0.6075810036555198,0.5245944926442851,263,4201,0.0626041442155838,Rivne,19,4,0.55,True
0.08295388920554841,0.6004891406148921,0.5038774947840806,263,4201,0.0626041442155838,Rivne,19,5,0.55,True
0.07683703636262884,0.5871715004624918,0.48206139810134385,263,4201,0.0626041442155838,Rivne,19,6,0.5800000000000001,True
,,,0,4201,0.0,Sevastopol,20,1,0.6,False
,,,0,4201,0.0,Sevastopol,20,2,0.59,False
,,,0,4201,0.0,Sevastopol,20,3,0.59,False
,,,0,4201,0.0,Sevastopol,20,4,0.55,False
,,,0,4201,0.0,Sevastopol,20,5,0.55,False
,,,0,4201,0.0,Sevastopol,20,6,0.5800000000000001,False
0.6081881320598003,0.592799147687738,0.5235496982835537,2270,4201,0.5403475165367126,Sumy,21,1,0.6,True
0.5499800900760108,0.5281705578929983,0.42274702807370296,2269,4201,0.5401095151901245,Sumy,21,2,0.59,True
0.5566980626979648,0.5300647073797617,0.3937981735774054,2268,4201,0.5398714542388916,Sumy,21,3,0.59,True
0.5636190022616998,0.5334705810434384,0.3667683607294309,2268,4201,0.5398714542388916,Sumy,21,4,0.55,True
0.5671832883896042,0.5289786097037348,0.36699037903730103,2268,4201,0.5398714542388916,Sumy,21,5,0.55,True
0.5603352666234958,0.524933143919176,0.37632020440510666,2268,4201,0.5398714542388916,Sumy,21,6,0.5800000000000001,True
0.4653603016068115,0.895316460697405,0.8093560109721314,243,4201,0.057843372225761414,Ternopil,22,1,0.6,True
0.2974725309399576,0.8158898891030719,0.654982323705115,243,4201,0.057843372225761414,Ternopil,22,2,0.59,True
0.27469142863041324,0.7885316398313985,0.5111770906460055,243,4201,0.057843372225761414,Ternopil,22,3,0.59,True
0.29766075591479346,0.7786859764149079,0.5305633082544662,243,4201,0.057843372225761414,Ternopil,22,4,0.55,True
0.31284178295920895,0.7678879261047584,0.5121514293111589,243,4201,0.057843372225761414,Ternopil,22,5,0.55,True
0.3010925174911339,0.7477162469302159,0.485108469175144,243,4201,0.057843372225761414,Ternopil,22,6,0.5800000000000001,True
0.2679924765877444,0.7569893252589689,0.6274001724740197,274,4201,0.06522256880998611,Vinnytsia,23,1,0.6,True
0.09745950444711357,0.5951711806155774,0.5314549795148695,274,4201,0.06522256880998611,Vinnytsia,23,2,0.59,True
0.08241683720411602,0.5500539963828929,0.5098386220060392,274,4201,0.06522256880998611,Vinnytsia,23,3,0.59,True
0.07597402631560246,0.5285929899497954,0.4888710857874472,274,4201,0.06522256880998611,Vinnytsia,23,4,0.55,True
0.08181985928874849,0.5226073840285949,0.494374026012084,274,4201,0.06522256880998611,Vinnytsia,23,5,0.55,True
0.08255991760930598,0.5137565311459686,0.5136533819399971,274,4201,0.06522256880998611,Vinnytsia,23,6,0.5800000000000001,True
0.47032048893780687,0.7129022149100717,0.5489002767859403,1185,4201,0.2820757031440735,Volyn,24,1,0.6,True
0.34422285130459807,0.5938182016586643,0.46380030156757657,1185,4201,0.2820757031440735,Volyn,24,2,0.59,True
0.32248736126511823,0.5645404537263987,0.43744027842702016,1185,4201,0.2820757031440735,Volyn,24,3,0.59,True
0.31081182815808706,0.5473611247973196,0.4282625347917619,1184,4201,0.28183767199516296,Volyn,24,4,0.55,True
0.30490841423608567,0.5387468090863105,0.4224378587440615,1183,4201,0.28159961104393005,Volyn,24,5,0.55,True
0.3002864086658213,0.5326295257477395,0.4178215077605322,1183,4201,0.28159961104393005,Volyn,24,6,0.5800000000000001,True
0.4371475475505645,0.8797528802805142,0.6646602482925826,226,4201,0.053796716034412384,Zakarpattia,25,1,0.6,True
0.32189957614138565,0.826235876885401,0.5111551121934509,226,4201,0.053796716034412384,Zakarpattia,25,2,0.59,True
0.33974445751798793,0.8165937552178993,0.4859275575134606,226,4201,0.053796716034412384,Zakarpattia,25,3,0.59,True
